Ticker,Formation_Year,P/E,ROE,Revenue_Growth,Debt_to_Equity,Price_t,Price_t+1y,Return_1y
AAA,2021,17.5638989659,0.0006124297800000001,0.009809409367068365,0.8351349645,19.4,6.56,-0.6618556701030929
ACB,2021,8.694408532,0.002390256853,-7.772751548139002e-06,10.7541037755,16.18,12.84,-0.20642768850432633
ANV,2021,41.2768237539,0.000551397561,0.0012334890846975612,1.0924858358,15.31,10.73,-0.2991508817766166
BCM,2021,63.2985339285,0.0008182118939999999,0.0022093951398485033,1.8552153433,61.7,78.32,0.26936790923824944
BID,2021,17.8773760511,0.0012700825409999999,-0.00045132041084661753,19.4067608964,27.21,28.31,0.040426313855200215
BMP,2021,22.9495074163,0.000899797876,0.0008967952379094048,0.237432837,41.24,45.58,0.10523763336566432
BSI,2021,11.6839336288,0.002223813163,0.006907947867045671,2.4926321215,31.07,13.11,-0.5780495654972643
BVH,2021,24.30445368,0.000885305015,0.00012626578123174124,6.695382845,50.1,44.45,-0.11277445109780436
BWE,2021,15.0525674923,0.002041137792,0.0018381136668543933,1.3116118,35.55,41.02,0.15386779184247557
CMG,2021,28.7506285645,0.000997136883,0.0018913852968762896,1.3147900514,28.2,28.2,0.0
CTG,2021,9.6191693531,0.001573628965,0.00024639638255222006,15.35446231,30.34,24.39,-0.19611074489123267
CTR,2021,24.2677264063,0.00316325254,-0.0006327254476495303,2.0215696889,66.44,47.64,-0.2829620710415412
CTS,2021,9.4840579414,0.002379034838,0.007433258574182421,2.6900618986,23.19,8.85,-0.6183699870633894
DBC,2021,8.6407487764,0.001865666973,0.0004412905257620721,1.3181247352,29.91,12.13,-0.5944500167168172
DCM,2021,11.0324385485,0.002641824218,0.007004474292669275,0.4806067543,28.31,21.66,-0.23489932885906037
DGC,2021,17.7659733953,0.0045928484190000006,0.011821216006324402,0.3456080683,65.12,54.46,-0.16369778869778875
DGW,2021,19.5536268357,0.004451711062,0.009632566450649456,2.674214845,50.43,27.9,-0.44675788221296847
DIG,2021,28.5192402561,0.001582707385,0.004747910498997869,1.1960427695,74.78,13.49,-0.8196041722385664
DPM,2021,8.8758885597,0.003288001524,0.0,0.2991433533,35.73,34.15,-0.04422054296109707
DXG,2021,18.903717248,0.0010302548459999999,0.012517308664561164,1.1114309715,27.18,9.9,-0.6357615894039735
DXS,2021,19.7256483579,0.000792179645,0.0,0.951151203,23.27,5.3,-0.7722389342501074
EIB,2021,38.2034115121,0.000557985144,-0.0001575977882528324,8.3243100274,21.88,18.15,-0.1704753199268739
EVF,2021,15.116570093,0.0008642318079999999,-0.0066464427125567885,7.1290389539,14.55,7.41,-0.4907216494845361
FPT,2021,24.0258423086,0.002167424308,0.0023147981525935214,1.5071424935,54.85,55.56,0.012944393801276223
FRT,2021,27.8561063407,0.0030555814250000004,0.011544605202084087,5.4230537696,57.43,59.54,0.03674037959254744
FTS,2021,10.0454695944,0.0032632826459999997,0.009436151601458569,2.1703279968,26.44,10.72,-0.594553706505295
GAS,2021,23.3920808557,0.001705725122,0.0029967596202742862,0.5091771147,68.54,74.28,0.08374671724540406
GEX,2021,19.0310495081,0.0007235061389999999,0.0060308969374336255,1.9851663203,37.12,11.59,-0.6877693965517241
GMD,2021,28.2088576039,0.000897657444,0.004766109457864444,0.5233204266,37.11,36.51,-0.01616814874696851
GVR,2021,27.6562222445,0.000804521321,0.000678307140039104,0.5212579462,35.03,13.43,-0.6166143305737939
HAG,2021,55.0459533022,0.00027621218,-0.0019190546356059029,2.9458087473,13.3,9.16,-0.3112781954887218
HCM,2021,9.0219473582,0.001949856623,0.0032311895216700194,2.3267251517,22.47,9.88,-0.5603026257231865
HDB,2021,8.3194369045,0.002181677817,0.0009034823449045582,11.1666189078,16.3,10.53,-0.35398773006134976
HDC,2021,24.8670123447,0.002355869225,0.005383097643520004,1.5451073447,49.38,18.78,-0.6196840826245443
HDG,2021,10.1554251115,0.002341005026,0.002137966442856648,1.9481576829,35.57,20.44,-0.425358448130447
HHV,2021,18.3975382868,0.00035705534999999996,0.00884902451642004,3.4245546892,21.31,7.85,-0.6316283435007038
HPG,2021,5.6174009157,0.004597073139,0.007216827261342791,0.9633751294,26.6,13.64,-0.48721804511278194
HSG,2021,3.1687486046,0.004766748865,0.00855076149532338,1.0313696683,28.65,10.62,-0.6293193717277488
HT1,2021,24.6642117942,0.000698321598,-0.0008572350272043204,0.7024504603,20.77,10.01,-0.5180548868560424
IMP,2021,26.1968900636,0.001072910307,-0.0018286654138286787,0.2788048299,31.75,25.13,-0.20850393700787404
KBC,2021,27.6949335008,0.000583279194,6.000449228161408e-05,0.8924803904,45.6,24.2,-0.4692982456140351
KDC,2021,20.9070650269,0.000809100523,0.002960418775993974,1.0411073157,51.47,63.22,0.22828832329512339
KDH,2021,24.8057134663,0.0013085088159999999,-0.005436825307896628,0.4061648668,38.32,21.9,-0.42849686847599167
LPB,2021,8.375903013,0.001851701203,0.0017787567796816001,16.211998338,10.86,8.12,-0.2523020257826888
MBB,2021,9.3434776188,0.002255543204,0.001707927875704228,8.7164196063,17.38,12.34,-0.28998849252013803
MSB,2021,9.1836804211,0.0020737445379999998,8.146386188694802e-05,8.2416466991,17.16,9.62,-0.43939393939393945
MSN,2021,19.6527763887,0.002542161821,0.0008549477069089179,1.9783524451,141.45,93.0,-0.3425238600212089
MWG,2021,21.6951294183,0.0027322242289999996,0.003265708103244607,2.0901287979,66.34,42.16,-0.3644859813084113
NAB,2021,6.4140665852,0.0019617082290000003,0.0014716628171111154,18.0953922831,9.78,5.38,-0.4498977505112474
NKG,2021,4.1381090857,0.004998214542,0.015577540905602143,1.6904363689,24.28,9.54,-0.6070840197693576
NLG,2021,16.3556210567,0.001057710544,0.03810320654823895,0.7458768372,60.84,30.06,-0.5059171597633136
NT2,2021,12.8085343707,0.0012513941210000002,0.0022826057889627715,0.5646508028,21.1,24.74,0.17251184834123207
OCB,2021,8.1002803934,0.00224511463,2.3100112198179813e-05,7.4609472818,15.17,10.0,-0.34080421885299933
PAN,2021,18.0580315936,0.00043066336300000003,0.003899531254552416,0.9821354663,37.7,14.64,-0.6116710875331565
PC1,2021,13.0492027203,0.001257913984,-0.0013203629035947859,1.9752464946,25.88,15.28,-0.4095826893353941
PDR,2021,22.6361521645,0.002796361657,-0.0012979119714166096,1.5234023807,63.11,12.29,-0.8052606559974648
PHR,2021,24.5738236188,0.0014874715520000002,-0.0010857956169329408,0.9384862186,59.52,35.97,-0.3956653225806452
PLX,2021,21.1882028313,0.001083828535,0.0057804137736329345,1.292668145,47.32,29.01,-0.3869399830938292
PNJ,2021,25.9448385123,0.0018286774989999999,0.002156734580007891,0.7661172428,67.24,85.35,0.2693337299226651
POW,2021,17.1224276946,0.000576533811,-0.005453218506841649,0.7020489984,17.5,10.65,-0.3914285714285714
PPC,2021,30.9212272896,0.00038134495,-0.007123070588651352,0.1224324423,17.88,9.65,-0.4602908277404921
PTB,2021,10.2571588906,0.0023364467799999998,0.0010464487549568511,1.2716364089,60.64,36.92,-0.39116094986807387
PVT,2021,11.5281949884,0.000996454254,-0.0005771816844644054,0.7941785244,16.23,14.82,-0.08687615526802218
