Ticker,Formation_Year,P/E,ROE,Revenue_Growth,Debt_to_Equity,Price_t,Price_t+1y,Return_1y
AAA,2020,13.783847967,0.000720520923,0.0015452476123782928,1.1295960112,12.22,19.4,0.5875613747954171
ACB,2020,9.1438591322,0.0024307530280000002,0.0010107592112644386,11.5402860509,10.54,16.18,0.5351043643263758
ANV,2020,13.6579557192,0.000856647592,-0.0032419309058094076,1.0711794694,11.14,15.31,0.374326750448833
BCM,2020,29.7063622251,0.00120552328,-0.0030268083456751,1.8796810161,39.02,61.7,0.5812403895438236
BID,2020,23.5689076814,0.000889591876,-0.00026059708191896217,18.042689625,27.8,27.21,-0.021223021582733807
BMP,2020,9.2107846312,0.002115384967,0.0012522890134433768,0.2230286937,40.66,41.24,0.014264633546483165
BSI,2020,13.1284307363,0.000887571982,0.006480805584549162,0.9598208218,8.83,31.07,2.518686296715742
BVH,2020,27.5384002247,0.0007595365299999999,0.0006892561267345515,6.0915454315,58.22,50.1,-0.13947097217451043
BWE,2020,10.1212376842,0.0019089769810000001,0.0011797889916299591,1.4185908053,26.3,35.55,0.3517110266159694
CII,2020,22.9725770664,0.000307939939,0.06696910021267713,2.7950818598,19.34,41.93,1.1680455015511892
CMG,2020,20.3399820952,0.0007403879570000001,0.0003487058396266904,1.1752676086,17.86,28.2,0.5789473684210527
CTD,2020,15.0510602927,0.000396455829,-0.004249206390378175,0.6856733938,56.56,80.91,0.4305162659123054
CTG,2020,10.8083675988,0.0016826096700000002,-0.00040862621473214405,14.7056180304,23.38,30.34,0.29769033361847735
CTR,2020,22.0723887051,0.002844121583,0.005488779817351848,2.6565565564,40.46,66.44,0.6421156697973306
CTS,2020,13.2020906989,0.000932108497,0.003962832608285575,1.9731376684,7.9,23.19,1.9354430379746836
DBC,2020,4.3393016175,0.00387200877,0.0037106350321588176,1.4010855433,20.41,29.91,0.46545810877021065
DCM,2020,12.813630291,0.001063392651,0.0006802963199648057,0.3779424325,10.35,28.31,1.735265700483092
DGC,2020,11.4691723069,0.0024116929200000002,0.0009257611932273104,0.4446833685,17.98,65.12,2.621802002224694
DGW,2020,19.333120742,0.002564724208,0.005892046080398815,1.6486996661,17.34,50.43,1.9083044982698965
DIG,2020,12.4040684435,0.001616527779,-0.0026849895625819468,1.4688609582,16.64,74.78,3.4939903846153846
DPM,2020,10.7572938761,0.000842599109,-0.0015092539322736811,0.370105148,12.56,35.73,1.8447452229299357
EIB,2020,30.4787737401,0.000657181659,-0.0013020376290737228,8.5386469507,12.5,21.88,0.7504
EVF,2020,12.9585135481,0.0006419196350000001,0.027529923802538558,6.857554997,6.46,14.55,1.2523219814241486
FPT,2020,18.3919782379,0.00199859458,0.0006798435321303203,1.2430973497,29.68,54.85,0.848045822102426
FRT,2020,86.2714194114,0.00019739399599999998,-0.0007564767239342726,3.3975564265,18.34,57.43,2.131406761177754
FTS,2020,13.649461949,0.000790826878,0.038585817814458745,0.5419921239,6.42,26.44,3.1183800623052966
GAS,2020,19.9558732802,0.001585031195,-0.0010353247594333185,0.2769456241,59.81,68.54,0.14596221367664275
GEX,2020,16.2604881428,0.000949200024,0.003632765257822071,2.3051096576,15.03,37.12,1.469727212242182
GMD,2020,27.787105348,0.00056363279,0.0009001429361056817,0.4912281577,24.94,37.11,0.4879711307137128
GVR,2020,26.5200645305,0.000739161679,0.0027083034864772084,0.5609014448,27.94,35.03,0.2537580529706514
HCM,2020,18.4526367314,0.00121322395,0.010764521907641864,1.812574416,11.45,22.47,0.9624454148471616
HDB,2020,9.9583975802,0.0018848546280000001,0.001464105030597142,11.9180237992,10.04,16.3,0.6235059760956178
HDC,2020,11.9069390887,0.002001602975,-0.0016206935182444678,1.9175828504,15.36,49.38,2.2148437500000004
HDG,2020,6.176410062,0.002698180651,-0.00033869954572939085,2.4893586253,17.05,35.57,1.086217008797654
HHV,2020,36.4996020647,0.000190962803,0.00028686070116220653,3.3898819883,13.47,21.31,0.5820341499628803
HPG,2020,13.5730707712,0.002513923883,0.004311916662089469,1.2207347002,17.47,26.6,0.5226101888952491
HSG,2020,9.0456116113,0.002425343549,0.0038945615022211847,1.4490991235,15.42,28.65,0.857976653696498
HT1,2020,10.4775883794,0.001143528398,-0.0002452012252016916,0.8587725101,15.47,20.77,0.34259857789269543
IMP,2020,22.9034722843,0.001274995101,-0.00046161934526913124,0.2114833999,22.54,31.75,0.4086069210292813
KBC,2020,77.9287548131,0.000213018437,0.006045302746365595,1.2327878653,18.3,45.6,1.4918032786885245
KDC,2020,70.5761535642,0.00025699489200000004,0.000988973875855587,0.6039139778,34.91,51.47,0.4743626468060729
KDH,2020,18.5479041496,0.001457125472,0.0037372955768616408,0.7080535854,20.01,38.32,0.9150424787606195
LPB,2020,11.1971132086,0.0013888862569999998,0.0012947526182043102,16.0283598068,5.39,10.86,1.0148423005565863
MBB,2020,10.026216045,0.001836446214,0.0005856722152593346,8.8799830617,10.24,17.38,0.6972656249999999
MSB,2020,12.6196831256,0.001267327781,5.666202722906445e-05,9.4710826824,8.56,17.16,1.0046728971962615
MSN,2020,93.2906262814,0.00032085363499999997,0.009392978366969397,3.623862243,72.8,141.45,0.9429945054945054
MWG,2020,16.2994058614,0.002836364007,0.0006987276434151384,1.9732464872,38.57,66.34,0.7199896292455277
NAB,2020,9.5774235894,0.001383602867,0.002592605056560596,19.3545804748,6.53,9.78,0.4977029096477793
NKG,2020,16.5807708129,0.000952815181,0.0007224296189381274,1.4404414082,7.83,24.28,2.100893997445722
NLG,2020,11.8568648823,0.001292334973,-0.002479542710246626,1.0300625626,24.73,60.84,1.4601698342094622
NT2,2020,9.6458369245,0.0014843514690000002,-0.002971220662825008,0.4848788312,18.01,21.1,0.17157134925041642
PAN,2020,28.839949457,0.000305715568,0.00034287499586227655,0.8363863883,33.29,37.7,0.13247221387804156
PC1,2020,9.5070946336,0.00121169122,0.005765219682048874,1.2479525403,12.19,25.88,1.1230516817063168
PDR,2020,25.7766782938,0.002552122356,0.003628239918926514,2.0066721627,27.79,63.11,1.2709607772580065
PHR,2020,6.5750910527,0.0036597942369999996,0.0057734929115356584,0.9747357758,49.3,59.52,0.20730223123732264
PLX,2020,66.62691675,0.00039499330600000003,-0.003657963353732601,1.5327527819,46.95,47.32,0.007880724174653832
PNJ,2020,20.0938968659,0.0021780144639999997,0.0009843538469790944,0.6183459841,55.72,67.24,0.20674802584350316
POW,2020,12.1796360606,0.00077827382,-0.0013807451754050664,0.728686779,13.38,17.5,0.3079222720478325
PPC,2020,8.7840502404,0.0016243156149999998,-0.0017682515798324678,0.1156367283,14.6,17.88,0.2246575342465753
PTB,2020,10.9263635837,0.0018690716299999998,-0.00045227579635274723,1.3981194507,34.93,60.64,0.7360435156026339
PVD,2020,44.7553147359,0.000133160307,-0.004071707196310621,0.4852702208,12.27,22.46,0.8304808475957621
PVT,2020,7.8316273905,0.0011186168489999999,0.0015217110337745051,0.7661695264,9.08,16.23,0.7874449339207049
REE,2020,9.712690848,0.001396632101,0.0025456194736015285,0.6810811373,26.47,37.37,0.41178692859841326
SAB,2020,23.0527400792,0.0022878772519999997,-0.0019432906889177057,0.2903424999,78.82,61.53,-0.2193605683836589
SBT,2020,23.331434639,0.00070023769,0.0029666305921336126,1.3100856548,16.18,20.0,0.23609394313967863
SCS,2020,15.9681985913,0.004598154533,-9.236163189054466e-05,0.0773520902,54.59,70.7,0.2951089943213042
SHB,2020,18.6048058352,0.001225570069,0.00043514695312438033,16.1690720504,7.66,13.66,0.783289817232376
SIP,2020,13.3466250541,0.00438773758,0.003694284318108303,5.0118334954,58.99,55.29,-0.06272249533819296
SSI,2020,15.6326207546,0.0013047440190000002,0.003000440744799306,2.6230389239,15.1,35.15,1.3278145695364236
STB,2020,17.010642484,0.000963045956,0.001012270258973704,16.0089761303,16.9,31.5,0.8639053254437872
SZC,2020,18.7095563286,0.001512099445,0.00446001366099525,2.494397806,20.51,44.53,1.1711360312042904
TCB,2020,11.2185517693,0.001803381614,0.0015654506991383313,4.8916329667,15.27,24.24,0.5874263261296659
TCH,2020,8.9868439474,0.001423016434,-0.0006848996917814473,0.3235926681,13.09,20.74,0.5844155844155843
TLG,2020,11.3199190882,0.0013492456080000002,-0.0020587623843030802,0.3239447355,27.93,34.79,0.24561403508771928
TPB,2020,8.4263664777,0.002354324381,0.002441379909152426,11.321410062,9.71,20.09,1.0690010298661172
VCB,2020,20.1008882241,0.0021089868570000002,-0.0001670408967727029,13.0945893829,42.93,44.63,0.03959934777544847
VCG,2020,12.937488495,0.002153699201,-0.005316389068635848,1.7375987878,27.54,32.61,0.1840958605664488
VCI,2020,13.3959622466,0.001793780485,0.005716236125746863,0.8539047034,15.42,40.48,1.6251621271076522
VGC,2020,24.9270085948,0.000853386481,-0.001493357450360811,2.035719032,22.46,46.22,1.057880676758682
VHC,2020,9.3433716554,0.0014310306359999999,-0.0008301790862845816,0.3914676532,30.75,48.09,0.5639024390243903
VHM,2020,12.2462784191,0.003555694038,0.0051666858318329635,1.4158710013,65.95,79.67,0.20803639120545867
VIB,2020,13.0956663006,0.0029565750369999998,0.0023090454948465743,12.6128969066,10.37,21.19,1.0433944069431054
VIC,2020,82.5792413828,0.000426189301,-0.0006605675130388627,2.1100134215,96.18,95.1,-0.01122894572676245
VIX,2020,12.3082078688,0.002072199759,0.0073653690803255475,0.2091050201,6.68,15.0,1.2455089820359282
VND,2020,11.0729454569,0.001960358841,0.00791187675089774,2.9212163784,6.06,26.84,3.4290429042904296
VNM,2020,17.6062659547,0.003502436416,0.0001221968163476008,0.4394241606,85.85,70.86,-0.17460687245195103
VPB,2020,12.0257636051,0.002192295665,8.42614632365673e-05,6.9370852686,10.61,21.03,0.9820923656927429
VPI,2020,22.4752451134,0.001088890897,-0.004833398722302824,2.2580328148,22.53,40.8,0.8109187749667108
VRE,2020,29.9186319234,0.000846290157,0.0016819476203696088,0.3572634898,31.4,30.1,-0.04140127388535023
VSC,2020,11.0380604599,0.001130483812,0.0004834025323992059,0.1324211111,12.08,17.07,0.4130794701986755
VTP,2020,17.4393062842,0.0035221489639999997,0.010290441563239817,2.6305187096,67.48,58.8,-0.12863070539419097
