Ticker,Formation_Year,P/E,ROE,Revenue_Growth,Debt_to_Equity,Price_t,Price_t+1y,Return_1y
AAA,2022,21.3915905998,0.000262523677,0.0,0.7493936661,6.56,9.07,0.3826219512195123
ACB,2022,6.1561819167,0.0026491677359999997,0.004080880100541287,9.401935188,12.84,16.77,0.3060747663551402
ANV,2022,6.1100161186,0.002582493407,0.00095224907846211,0.8970395788,10.73,15.32,0.42777260018639324
BCM,2022,48.708254854,0.000960410716,-0.007127673864284637,1.6909574823,78.32,61.96,-0.20888661899897848
BID,2022,12.3827057626,0.001906214078,0.0037135083610939164,19.353291926,28.31,35.87,0.26704344754503706
BMP,2022,7.3575577342,0.0028252205619999997,-6.348038955407988e-05,0.1615497593,45.58,90.64,0.9885914874945152
BSI,2022,32.5128884705,0.000369296936,-0.0039983095671641,0.2804804331,13.11,39.26,1.9946605644546147
BVH,2022,22.9733244162,0.000716356845,0.0004617955852377353,8.4807192102,44.45,38.6,-0.1316085489313836
BWE,2022,11.2062803163,0.001755469356,0.00025004580409770054,1.2008919564,41.02,35.14,-0.14334470989761097
CII,2022,5.3422092422,0.0008335202860000001,0.01865198494432674,2.440486143,11.66,15.93,0.3662092624356775
CMG,2022,20.8879316728,0.001063273732,0.0025226267121991686,1.2508284442,28.2,39.19,0.38971631205673757
CTG,2022,8.3366155321,0.001662403072,0.0040975870318312475,15.718766165,24.39,27.1,0.11111111111111115
CTR,2022,16.5291627226,0.0030164390969999997,0.0032499326253707184,2.7179019922,47.64,87.98,0.846767422334173
CTS,2022,34.3150828883,0.000387700184,-0.005735875019518122,1.7163439085,8.85,19.79,1.2361581920903955
DCM,2022,3.017465465,0.004773348399,0.0017018401274175715,0.3358096357,21.66,29.04,0.34072022160664817
DGC,2022,3.6457233156,0.006483882777999999,-0.0009975120571050482,0.2373648653,54.46,91.9,0.6874770473742197
DGW,2022,7.8449429677,0.003252574567,-0.004714047893576816,1.6226505306,27.9,39.3,0.4086021505376344
DIG,2022,68.5472953193,0.00018637815599999998,-0.005646414448298462,0.8920202181,13.49,25.24,0.8710155670867308
DPM,2022,2.4120504741,0.0045003984689999995,-0.002347502815266614,0.2626269344,34.15,31.56,-0.07584187408491948
DXG,2022,35.972940779,0.00015645962900000002,-0.0055560972891534385,1.1527024183,9.9,15.87,0.6030303030303029
DXS,2022,8.1673513948,0.000429362275,-0.0031109807511494974,1.0039217728,5.3,7.5,0.4150943396226416
EIB,2022,9.8913514737,0.001539666421,0.0,8.0359841113,18.15,16.87,-0.0705234159779613
EVF,2022,7.486048502,0.0008793750490000001,0.006719843302940903,8.734058195,7.41,14.81,0.9986504723346828
FPT,2022,16.4103429545,0.00227053325,0.002182678513149303,1.0369991223,55.56,81.72,0.47084233261339087
FRT,2022,19.7271695784,0.002093868105,-4.198264639809204e-05,4.1352239439,59.54,107.0,0.797111185757474
FTS,2022,15.5309211366,0.0010053445160000001,-0.003937719550089302,0.5794353141,10.72,28.38,1.647388059701492
GAS,2022,12.6878274207,0.002610708469,0.0009292121574250869,0.3512806442,74.28,68.7,-0.07512116316639739
GEX,2022,29.1974659867,0.000177614756,-0.0021974460611598164,1.4893738483,11.59,22.06,0.903364969801553
